"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog","B04CHE3","B07CHE3","B13CHE3","B14CHE3","DEMENV5","LCEE10","PRSCHE3","SLPMRG5","TMDMOD3","TMNMOD3","TWIMRG5","VBFMRG5","VDPMRG5","soilmap"
"P0003",42.0282822154768,20.8181913630771,26.38,0.730448285788492,8,5.31830631503171,2.16,1.67115489082952,573.881103515625,38.4626197814941,111.615264892578,59.2277145385742,2327,"1",998.034118652344,13,282,272,61,0,311,"6"
"P0007",42.0227923655491,20.8316468671779,6.14911435565658,1.16533551414808,18.6335897884245,1.74916171179648,2.85,0.559136651337229,553.1982421875,37.8445739746094,124.964195251465,60.3194999694824,2207,"3",1053.32006835938,36,280,270,62,0,823,"14"
"P0008",42.0501379955324,20.8203639510004,3.94035195212311,1.29625820001075,31.875748076375,1.04387748958293,2.65,0.0429421354319413,692.651916503906,42.0783996582031,99.797721862793,42.3920707702637,1243,"2",779.994384765625,6,285,277,81,14,10048,"14"
"P0009",42.0204665353222,20.9352919753121,3.25854484732824,1.34462965138917,21.714058524173,1.0290380178008,3.16,0.0286244025258771,742.529724121094,43.6722984313965,118.085792541504,39.9337196350098,1120,"1",839.182800292969,25,288,279,66,0,1963,"3"
"P0010",42.0115687565782,20.9319567091023,2.28930163415046,1.4129644627769,14.46088316115,0.830080619389937,3.63,-0.186232451113376,743.877624511719,43.7084159851074,121.016448974609,38.737678527832,1098,"2",843.918640136719,30,289,279,65,0,-173,"3"
"P0011",42.0098832379753,20.9042149531902,3.91280281751902,1.29802860034846,27.3030950474164,1.10766746670597,2.83,0.102256422978508,671.686218261719,41.4602165222168,133.751754760742,46.9576797485352,1492,"2",952.455322265625,24,287,277,72,0,-400,"14"
"P0012",42.0155488576618,20.9186952325476,4.55127795572862,1.27203426419382,22.9949428235233,1.33743496155552,2.94,0.290753571731318,692.646484375,42.1173477172852,127.006912231445,46.202751159668,1413,"2",913.571533203125,15,286,277,68,0,-9,"3"
"P0013",42.0094515816207,20.8851646754612,7.3533919905747,1.11679499869389,26.0004816470867,1.82310350427713,2.49,0.600540270978431,616.157653808594,39.7667465209961,136.579177856445,47.9201698303223,1809,"1",974.232238769531,17,286,273,67,0,-692,"14"
"P0015",42.0025483002752,20.8790447548202,7.69773464284083,1.10075855237726,16.3997184553145,2.12512264518071,2.77,0.753829516090072,637.886657714844,40.4068565368652,134.397644042969,43.2972717285156,1731,"1",927.346740722656,20,287,274,65,0,-1139,"14"
"P0018",42.0925281528637,20.965125911826,7.0017807112069,1.13673892940264,38.8981681034483,1.45896449813909,2.09,0.377726936235061,589.710754394531,39.1050224304199,122.622993469238,42.6942749023438,2033,"3",957.936157226562,43,286,273,59,0,2422,"14"
"P0021",42.10947672435,20.979614683302,5.45288682340077,1.21370035611373,46.212684527064,1.06792090256138,1.96,0.065713676523214,578.012878417969,38.7807884216309,122.283897399902,48.656665802002,2192,"4",962.343383789062,48,284,272,60,0,65,"14"
"P0024",42.1118688614126,21.0721437947484,2.26246232086535,1.41468749219132,33.0047945640439,0.643290068968658,2.84,-0.441159538320504,761.817016601562,44.4281692504883,95.8748321533203,30.0679264068604,703,"1",671.413146972656,27,290,280,70,0,9993,"3"
"P0025",42.0656012892707,21.0203379153355,1.47,1.47726206158845,39,0.397398267187909,2.7,-0.922816309246576,762.327270507812,44.3757743835449,102.533470153809,30.100564956665,738,"2",712.989440917969,40,289,280,68,0,7855,"3"
"P0026",42.0666834065042,21.005729104692,2.93071865235231,1.36948165980761,41.9454038373666,0.699017763149982,2.39,-0.358079124839479,751.408752441406,44.0301628112793,111.655502319336,32.04248046875,1002,"2",780.627624511719,38,289,280,64,0,6115,"3"
"P0029",42.0051758814976,21.0508488064146,3.25860516777759,1.34098094772275,4.69058463742995,1.24942850455633,3.84,0.22268625041315,762.796997070312,44.3595771789551,71.103889465332,32.7165374755859,413,"1",594.002258300781,1,292,279,96,392,8647,"9"
"P0030",42.0194220033923,21.0084537467346,2.92768864179057,1.36424598691521,7.94737896292482,1.10299866369419,3.77,0.0980325287513105,762.325012207031,44.3312530517578,80.8459701538086,29.7920837402344,441,"4",616.523193359375,1,292,280,93,263,10434,"9"
"P0031",42.0301527849458,21.0680418422391,2.90794201897998,1.36559060351751,1.50625860475467,1.17337316681971,4.04,0.159882649359711,762.540405273438,44.3810882568359,70.6116104125977,31.0289287567139,409,"1",581.192321777344,1,291,279,96,399,9985,"9"
"P0032",42.0376005658918,21.0469009324974,3.7452795660255,1.30875822077237,13.741429311058,1.26843195966538,3.39,0.237781460199518,762.326477050781,44.3708114624023,75.2873764038086,29.9853553771973,427,"1",596.460021972656,1,291,279,94,271,10580,"9"
"P0033",42.0357255562834,21.025280286714,3.25761360025099,1.34259188885823,19.9394572911635,1.05046932027124,3.23,0.049237035994243,762.190795898438,44.3507766723633,79.9424438476562,29.1406345367432,436,"1",603.728820800781,1,292,279,92,286,11056,"9"
"P0037",42.0232978746858,21.0858820478958,3.66621876862445,1.31344740753922,2.56652007445881,1.40753931019458,3.84,0.341843009731986,762.727966308594,44.3950614929199,70.0060577392578,37.6957206726074,399,"1",624.115966796875,0,291,280,97,239,9117,"9"
"P0038",42.0394913265711,21.1023668641024,3.89127215417367,1.29880142570599,9.97547087911706,1.36494916162754,3.51,0.311117183714434,762.571960449219,44.4130706787109,66.8068313598633,34.2525978088379,393,"1",576.824462890625,1,291,279,97,299,9316,"9"
"P0039",42.0572988557835,21.122838010989,10.1529502360818,1.01386435077985,1.12002475274364,3.05352664544187,3.03,1.11629719983976,762.233337402344,44.4324760437012,64.5842742919922,30.0692081451416,391,"1",543.071960449219,2,291,279,94,299,9007,"9"
"P0042",42.1169751390876,21.095247630642,3.64724146216972,1.31484123522085,16.8506509432712,1.19623895352863,3.28,0.179182429492551,760.744445800781,44.4219856262207,85.698974609375,28.9856033325195,566,"1",612.156921386719,5,291,280,78,57,10672,"9"
"P0043",42.1363028761948,21.1181155199027,4.56083988638498,1.26034275428733,16.2914021297523,1.44352668711013,3.17,0.367089207729746,761.568176269531,44.4691429138184,87.8475341796875,29.7035789489746,663,"1",635.45556640625,7,291,279,74,11,9249,"11"
"P0044",42.0110908888501,21.1142375044636,11.54,0.954215643947142,29,2.34548113713495,2.05,0.85249055660309,765.048522949219,44.4633369445801,88.3417205810547,49.206428527832,808,"3",817.1982421875,16,291,280,71,0,4664,"6"
"P0045",42.0225562016355,21.1359452773163,12.24,0.934293706745222,29,2.4358158087296,2.01,0.89028173480894,763.440246582031,44.4314346313477,98.0896987915039,49.9784698486328,895,"2",861.786926269531,10,291,280,69,0,3085,"6"
"P0046",42.0071529205535,21.1856628071708,8.26,1.06942590357245,16,2.22603140680413,2.71,0.80022036183025,763.428466796875,44.4605865478516,87.8994369506836,31.6210117340088,648,"4",660.350830078125,32,294,281,67,0,4582,"6"
"P0047",42.0537847555873,21.1795042402689,13,0.914236521709941,25,2.67414182600158,2.09,0.983628516166873,760.738098144531,44.3995399475098,93.6168594360352,49.4784240722656,787,"2",832.151489257812,27,290,280,67,0,3487,"6"
"P0048",42.0130188143539,21.2189544270193,7.76,1.09068084632881,20,2.03128400820278,2.63,0.708668109455588,763.000549316406,44.4656867980957,69.8036117553711,29.0921230316162,436,"1",550.9228515625,6,296,280,82,11,6828,"6"
"P0049",42.0321061873733,21.2418094243796,8.97,1.041071611428,16,2.35327991333632,2.64,0.855810062863953,762.658325195312,44.4838409423828,78.5948181152344,30.8657684326172,485,"1",597.129089355469,40,295,281,68,0,6179,"6"
"P0050",42.0160748011701,21.3109814007963,2.26338938609193,1.41362305708679,5.58870489625612,0.906229311435892,4,-0.0984629018342275,763.269226074219,44.5181770324707,66.1724243164062,28.7129306793213,322,"1",538.299438476562,11,295,282,91,4,8154,"18"
"P0052",42.0537035326614,21.3070331261023,3.84259293475808,1.30139049871894,8.15177604260697,1.37792008054975,3.59,0.320575174211301,762.353637695312,44.5186538696289,84.9850616455078,33.1719932556152,630,"3",683.275512695312,4,295,281,80,3,5806,"18"
"P0056",42.0874083054724,21.2237308017324,5.56,1.19843835630952,28,1.43927652839348,2.59,0.364140576499437,762.033935546875,44.4997825622559,66.674560546875,34.0722579956055,321,"1",554.350830078125,8,292,281,84,95,9619,"6"
"P0057",42.0972522625748,21.2028264508573,9.15,1.03420803115205,32,1.93045271094841,2.12,0.657754540668907,761.761047363281,44.4904594421387,67.4828186035156,32.7791366577148,329,"1",551.354858398438,21,292,281,80,0,9329,"6"
"P0058",42.1068652852797,21.1381807730689,3.15072430255028,1.3525137097036,2.48759385581466,1.24661746334561,3.96,0.22043385407486,761.345031738281,44.4501113891602,71.8007659912109,30.8225173950195,383,"2",605.671264648438,3,291,281,86,49,9858,"12"
"P0059",42.1193176781262,21.1773187168776,6.59,1.14493131118501,20,1.8108233617702,2.75,0.593781637849551,760.94775390625,44.4752349853516,70.8882217407227,28.75168800354,466,"3",560.815124511719,22,293,281,81,0,8092,"14"
"P0060",42.1304193530294,21.1829984003098,4.28,1.2733901539127,27,1.19357405906545,2.79,0.176952216874494,760.937316894531,44.4820442199707,78.8565444946289,29.4261875152588,528,"2",610.852478027344,24,294,281,80,7,7244,"14"
"P0062",42.1555004831208,21.1405372219939,10.86,0.974999889115718,18,2.60477070376599,2.42,0.95734464974425,761.913635253906,44.5020561218262,91.5111770629883,30.6819896697998,799,"1",670.895568847656,17,291,279,72,0,6570,"12"
"P0063",42.1356566255574,21.096727230249,3.42721697133361,1.33095043864352,16,1.14948689469339,3.36,0.139315664280416,761.37451171875,44.4508666992188,93.5918426513672,30.0879535675049,722,"2",654.764465332031,39,290,280,66,0,9247,"3"
"P0066",42.1687374382038,21.1533715640465,6.5,1.14938272963238,34,1.47925557303687,2.28,0.391538970042216,745.298828125,44.0162200927734,100.194831848145,34.6423759460449,1126,"2",750.200500488281,34,290,279,62,0,2545,"12"
"P0067",42.0341234499344,21.3379176058524,4.04,1.28858229892689,21,1.23379177957652,3.06,0.210092175083992,763.014526367188,44.5344123840332,68.5063629150391,29.8558769226074,301,"1",551.608947753906,6,296,281,97,89,8470,"18"
"P0068",42.0471049792186,21.3355341655527,3.73902093596059,1.30973156515482,22.0591133004926,1.1450561621003,3.06,0.135453685672554,762.843444824219,44.5368270874023,70.6492538452148,29.7949295043945,329,"1",556.172546386719,7,296,281,93,6,8237,"18"
"P0069",42.0645342119978,21.3331851063057,4.67,1.24949334660686,10,1.5754861607366,3.38,0.45456389813129,762.247497558594,44.5316619873047,78.4805450439453,31.9806804656982,448,"1",606.934143066406,7,294,281,90,1,7301,"18"
"P0071",42.0852248390962,21.3795992639215,8.76,1.0492423222391,4,2.64711246993057,3.04,0.973469411926958,761.840698242188,44.560619354248,74.5944137573242,28.5627536773682,475,"1",583.863830566406,22,295,281,82,0,7083,"6"
"P0073",42.1138388420605,21.3657062726878,4.25,1.27526861054419,10,1.46337073059946,3.45,0.380742494310727,762.243408203125,44.5892028808594,82.1084136962891,30.3285808563232,675,"1",648.526489257812,9,293,281,75,1,5468,"6"
"P0075",42.1178726933724,21.3875942638692,4.63802638254693,1.25163044044168,44.8604769152714,0.960270509940897,2.07,-0.0405402530246835,761.494323730469,44.5841484069824,78.0485687255859,29.346643447876,577,"4",590.896301269531,22,294,281,71,7,6638,"3"
"P0076",42.1558216514178,21.3745150962693,2.8657650862069,1.37004858714069,37.9935344827586,0.730356313249839,2.55,-0.314222763579679,747.241516113281,44.1650161743164,89.6248474121094,38.4345703125,964,"2",730.077880859375,32,288,280,70,0,2602,"3"
"P0077",42.1680048536219,21.3741270400397,5.49769088669951,1.20223701625964,7.17456896551724,1.84059671400783,3.35,0.610089820137872,734.469848632812,43.7865715026855,90.9257659912109,40.1632080078125,1181,"2",737.0478515625,26,288,279,70,0,618,"3"
"P0078",42.1813666200998,21.3954871865249,7.92095744680851,1.08746562265549,47.5783551554828,1.35464380559308,1.72,0.303538545673164,721.123962402344,43.3891754150391,90.2491989135742,41.9711799621582,1280,"2",755.650512695312,35,287,279,65,0,-35,"3"
"P0079",42.1182110300745,21.4194020271885,3.29336947626841,1.34069616724339,16.8915711947627,1.10087282289148,3.34,0.0961033405250725,761.573181152344,44.598876953125,73.8965072631836,29.1437129974365,641,"1",581.130187988281,12,294,281,79,1,5788,"6"
"P0080",42.1326784318669,21.4173564367968,3.56824933687003,1.32459047837197,12.3912466843501,1.24224019527626,3.48,0.21691635875533,764.087951660156,44.6773719787598,77.6740493774414,30.3236618041992,692,"2",607.364074707031,25,291,280,79,0,5463,"6"
